Queue Number,Latitute,Longitude,Queue Date,Substation Name,Substation Transformer,Capacity (MW),Interdependency Status
(2021, 2)
VA21369, 37.20312378, -79.20332451, 2021-06-10, Dominion, TX#1, 0.06, Project A
VA20218, 37.212744, -79.201062, 2020-08-13, Dominion, TX#1, 4, Project A
VA20056, 37.312433, -77.473662, 2020-03-24, Harrowgate, TX#3, 5, Project B
VA18101, 37.312174, -77.461586, 2018-11-01, Harrowgate, TX#3, 15, Project B
VA18107, 37.335928, -77.468535, 2018-11-01, Iron Bridge, TX#1, 20, Project A
VA18108, 37.335928, -77.468536, 2018-11-01, Iron Bridge, TX#1, 11.5, Project A
VA20217, 37.404221, -77.533606, 2020-08-13, Iron Bridge, TX#1, 1.02, Project B
VA20060, 37.335928, -77.468535, 2020-03-24, Iron Bridge, TX#1, 5, Project B
VA21199, 37.356513, -77.935369, 2021-03-08, Jetersville, TX#1, 3, Project B
VA20563, 37.225066, -78.151463, 2020-12-21, Jetersville, TX#1, 5, Project B
VA20057, 37.335722, -77.461585, 2020-03-24, Locks, TX#3, 5, Project B
VA19054, 37.181384, -77.538173, 2019-05-01, Locks, TX#3, 20, Project B
VA21027, 37.269226, -77.513515, 2021-01-08, Locks, TX#4, 2.5, Project B
VA20547, 37.312174, -77.473586, 2020-12-11, Locks, TX#4, 25, Project B
VA20140, 36.884285, -76.691254, 2020-06-16, Smithfield, TX#2, 2, Project A
VA19132, 36.888545, -76.611078, 2019-10-22, Smithfield, TX#2, 0, Project A
VA20269, 36.654628, -76.5800064, 2020-09-22, Suffolk, TX#10, 20, Project B
VA20160, 36.67914, -76.586381, 2020-07-06, Suffolk, TX#10, 3, Project B
VA21048, 36.7072, -77.0919, 2021-01-14, Watkins Corner, TX#2, 1, Project A
VA18089, 36.6806347, -76.973687, 2018-10-12, Watkins Corner, TX#2, 5, Project A
(2022, 1)
VA21191, 37.497411, -76.841171, 3/8/21, Correctional, TX#1, 2, Project B
VA22007, , , 1/10/22, Correctional, TX#1, 5, Project B
VA18101, 37.312174, -77.461586, 11/1/18, Harrowgate, TX#3, 15, Project B
