Queue Number,Latitute,Longitude,Queue Date,Interdependency Status
VA17002, , , 1/17/17, Project A
VA18005, , , 2/7/18, Project A
VA18100, 37.335722, -77.461585, 11/1/18, Project A
VA18101, 37.312174, -77.461586, 11/1/18, Project B
VA18102, 37.3284, -77.4599, 11/1/18, Project A
VA18105, 37.335928, -77.461589, 11/1/18, Project A
VA18107, 37.335928, -77.468535, 11/1/18, Project A
VA18108, 37.335928, -77.468536, 11/1/18, Project B
VA18120, 36.827045, -77.51859, 11/20/18, Project A
VA18121, 36.827045, -77.51859, 11/20/18, Project B
VA19054, 37.181384, -77.538173, 5/1/19, Project B
VA19081, , , 7/17/19, Project A
VA19106, 37.5562, -76.4436, 8/26/19, Project A
VA19123, 37.564517, -76.357082, 9/6/19, Project B
VA19132, 36.888545, -76.611078, 10/22/19, Project A
VA19135, 36.4637, -76.0032, 11/14/19, Project A
VA19143, 36.714753, -76.679513, 11/27/19, Project A
VA19144, 36.7146, -76.68662, 11/27/19, Project B
VA20047, 38.016883, -78.459431, 2/21/20, Project A
VA20074, 38.660199, -78.783753, 4/29/20, Project A
VA20075, 38.660199, -78.783753, 4/29/20, Project B
VA20121, 37.814662, -78.23592, 6/3/20, Project A
VA20122, 37.814662, -78.23592, 6/3/20, Project B
VA20133, 36.823414, -77.48149, 6/16/20, Project A
VA20159, 36.825796, -77.483723, 7/6/20, Project B
VA20195, 37.773667, -77.356397, 7/24/20, Project A
VA20201, 38.023283, -79.019775, 8/4/20, Project A
VA20209, 37.1887704, -78.21621637, 8/4/20, Project A
VA20232, 37.4477159, -77.208455, 8/28/20, Project A
VA20234, 37.370037, -77.035565, 8/28/20, Project A
VA20237, 37.58688, -76.854188, 8/28/20, Project A
VA20240, 38.034093, -79.067302, 8/28/20, Project B
VA20253, 36.744686, -78.953513, 9/10/20, Project A
VA20268, 37.760711, -77.47709, 9/22/20, Project A
VA20281, 37.3632, -76.532197, 9/25/20, Project A
VA20290, 37.764667, -77.437185, 10/2/20, Project A
VA20291, 37.764667, -77.437185, 10/2/20, Project B
